ProjectName,PLC_Name,BlockName,BlockType,Language,AttributeName,AttributeValue,InterfaceSection,InterfaceName,InterfaceDataType,InitialValue,Comment,SourceReference
P24U1_OP6020,PC-System_1,FS_ScanBits,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OpCodeToInt,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Base64_Encoding,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Base64_Decoding,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,Create_DB_ANY,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_DateTime,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PlcInfo,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_ComplexityDisplay,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_CompScrTaskDisplay,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FC_ExternalControlHmi,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_TaskScreenCntrl,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_TaskToHmi,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_ProductionSetupScreen,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_HMIControl,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_ModeScreen,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_SetupScreens,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_StationHmiDataTransfer,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_LMA_Data,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_MachineControl,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Mode,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PalletStop,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Motion,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_MotionHMI,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_UpdateTaskStatus,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_GetRecipeName,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_CycleResult,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMSVersChangeAck,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_StaOkToBuild,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_CommControl,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_AnalyzeAllOperTasks,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_CheckAllTaskConf,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_ReadTaskData,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_ProcessWriteRange,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OMS_WriteTaskStatus,,SCL,,,,,,,,
